ID, Heartrate, Impact
12000, 177, 19
12000, 193, 10
12000, 186, 9
12000, 149, 10
12000, 162, 19
12000, 190, 4
12000, 163, 7
12000, 140, 15
12000, 172, 16
12000, 111, 14
12000, 167, 9
12000, 182, 5
12000, 162, 13
12000, 167, 19
12000, 129, 0
12000, 122, 12
12000, 169, 9
12000, 193, 7
12000, 111, 16
12000, 129, 18
12000, 121, 14
12000, 184, 10
12000, 198, 2
12000, 115, 15
12000, 113, 19
12000, 191, 8
12000, 156, 9
12000, 162, 11
12000, 196, 10
12000, 105, 6
12000, 184, 12
12400, 177, 19
12000, 136, 5
12400, 193, 10
12000, 146, 18
12400, 186, 9
12000, 113, 14
12400, 149, 10
12000, 124, 3
12400, 162, 19
12000, 182, 3
12400, 190, 4
12000, 114, 9
12400, 163, 7
12000, 134, 14
12400, 140, 15
12000, 143, 14
12400, 172, 16
12000, 187, 3
12400, 111, 14
12000, 176, 14
12400, 167, 9
12000, 188, 18
12400, 182, 5
12000, 103, 2
12400, 162, 13
12000, 154, 1
12400, 167, 19
12000, 132, 18
12400, 129, 0
12000, 176, 0
12400, 122, 12
12000, 139, 1
12400, 169, 9
12400, 193, 7
12000, 126, 6
12400, 111, 16
12000, 194, 14
12000, 195, 7
12400, 129, 18
12000, 134, 7
12400, 121, 14
12000, 167, 12
12400, 184, 10
12000, 197, 20
12400, 198, 2
12000, 117, 0
12400, 115, 15
12000, 152, 8
12400, 113, 19
12000, 101, 2
12400, 191, 8
12000, 186, 13
12400, 156, 9
12000, 165, 20
12400, 162, 11
12000, 144, 8
12400, 196, 10
12000, 140, 3
12400, 105, 6
12000, 131, 4
12400, 184, 12
12000, 197, 11
12400, 136, 5
12000, 181, 5
12400, 146, 18
12000, 109, 19
12400, 113, 14
12000, 167, 10
12400, 124, 3
12000, 197, 12
12400, 182, 3
12000, 186, 14
12400, 114, 9
12000, 106, 8
12400, 134, 14
12000, 119, 5
12000, 128, 3
12400, 143, 14
12000, 132, 11
12400, 187, 3
12000, 103, 11
12400, 176, 14
12000, 170, 3
12400, 188, 18
12000, 108, 17
12000, 140, 9
12000, 196, 11
12000, 118, 19
12000, 146, 12
12000, 121, 14
12000, 179, 1
12000, 164, 14
12000, 141, 17
12000, 193, 13
12000, 134, 16
12000, 124, 10
12000, 187, 8
12000, 143, 0
12000, 127, 1
12000, 159, 7
12000, 132, 11
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
